date R G B H S L Tot Rpc Gpc Bpc Rex Gex Bex nRGd nRBd nGBd
1_15_01_04_16_55 124.3350585898709 127.04682174776563 127.80223435948362 136.0368705369269 7.788484347978467 49.62547773428791 379.18411469712015 0.3266476867484937 0.3350938782870098 0.33796002384179263 -6.178938927507448 1.9563505461767627 4.222588381330685 -0.01270971761570131 -0.016173993964461956 -0.003484303233936541
1_15_01_05_10_55 121.00305610724925 126.58443396226416 132.8209250248262 162.5808583738771 7.408876088907923 49.77116147749945 380.4084150943396 0.3177149215092905 0.3323915883790687 0.3498860422445494 -17.39924677259186 -0.6551132075471698 18.054359980139026 -0.022797696163381374 -0.04812327838498055 -0.02540011108746348
1_15_01_05_13_55 130.2419498510427 128.5370501489573 121.96247765640517 78.00142134491634 6.911934210825244 49.63510553576664 380.74147765640515 0.34362905307017655 0.3380860466126808 0.3182749698358231 9.984371896722939 4.8696727904667325 -14.854044687189672 0.008096974720077883 0.03853458949205969 0.030460005926818686
1_15_01_05_16_55 123.83870109235353 127.27312462760675 128.11534011916584 125.17574318542624 6.67146081035869 49.61326021769661 379.22716583912614 0.3262263710467719 0.3360239290210584 0.3376330167120631 -7.711062562065541 2.592208043694141 5.1188545183714 -0.015007484809467885 -0.016840166438910852 -0.0019398869417939057
1_15_01_06_10_55 131.34858589870905 131.05729145978154 127.27913952333664 38.05257190907396 3.5449476557982202 50.85591691492566 389.6850168818272 0.3385284875827806 0.33690676725183955 0.3245607729760604 4.360740814299901 3.4868574975173785 -7.847598311817279 0.0022402631659124753 0.02112157023720959 0.01890151618437225
1_15_01_06_13_55 128.7336390268123 128.70457795431977 131.18372045680238 162.36182402665384 7.066047996115914 50.90660231321899 388.62193743793443 0.3318779537996194 0.33111882669766557 0.3369997438304434 -2.4210203574975173 -2.5082035749751737 4.929223932472691 0.0008454867982522787 -0.007644254726610404 -0.008503679204223725
1_15_01_06_16_55 116.2061737835154 125.60400397219463 131.19921698113208 189.44128247872854 15.518770348480567 48.67015119654046 373.0093947368421 0.30506645877838245 0.33725588315035043 0.357601193323975 -24.39087338629593 3.8026171797418074 20.58825620655412 -0.053344990856226494 -0.07854180981247674 -0.02749894856063759
1_15_01_07_10_55 121.64376762661371 124.64179990069513 127.32349851042702 124.36676776913276 8.822394620198427 48.93999892906823 373.60906603773583 0.32339342967990914 0.3328388265848116 0.3428794617098433 -8.677763157894736 0.3163336643495531 8.361429493545184 -0.013756022412938173 -0.027957254478146027 -0.014127259553698682
1_15_01_07_13_55 126.95378699106256 125.44423932472691 123.20974627606753 117.13793600473343 9.300503060958958 49.03667435792332 375.607772591857 0.33920579392844946 0.3330753588628095 0.32729580848237655 5.253588381330685 0.7249453823237338 -5.978533763654419 0.00940694599897971 0.018751739223422426 0.00944396241829924
1_15_01_07_16_55 125.19029195630586 126.9314314796425 128.13306107249255 126.07811470360424 8.082876920463784 49.79254327550079 380.25478450844093 0.3277601965923116 0.3332612709299136 0.3383722762724778 -4.683908639523336 0.5395099304865938 4.144398709036743 -0.008011499993824805 -0.014487244017975432 -0.0064841723127503316
