cam;year;month;day;hour;min;r;g;b;h;s;v;tot;r_pc;g_pc;b_pc;r_ex;g_ex;b_ex;n_rg_d;n_rb_d;n_gb_d
2;16;1;26;10;55;125.081727904667;128.249316285998;130.411601787488;183.876390764647;9.86412214498511;0;383.742645978153;-1.12755794151766;-1.09693169563318;-1.07648564649065;-8.49746226415094;1.00530287984111;7.49215938430983;-0.015300041408673;-0.02546734890887;-0.010190001972088
2;16;1;26;13;55;130.540512909633;128.356313803376;121.198874379345;121.566814796425;12.0814870903674;0;380.095701092354;-1.07135106257205;-1.08537007026806;-1.14661608973646;11.5258376365442;4.97324031777557;-16.4990779543198;0.007010225482584;0.037564353977252;0.030647426555643
2;16;1;26;16;55;124.964517378352;126.823880834161;126.63555163853;149.115672293942;8.23900744786495;0;378.423949851043;-1.10834389418838;-1.09439056218136;-1.09686933166261;-3.53039771598808;2.04769265143992;1.48270506454816;-0.007096178686442;-0.005731906233008;0.001280755122327
2;16;1;27;10;55;122.068424528302;124.980970705065;128.475582423039;188.54073733863;10.0615074478649;0;375.524977656405;-1.12642067558717;-1.10217726507059;-1.07222697031344;-9.3197040714995;-0.582065541211519;9.90176961271102;-0.012162240634365;-0.027083241873932;-0.014966757628779
2;16;1;27;13;55;124.093658887786;126.198441410129;123.615471698113;171.529815292949;9.73140168818272;0;373.907571996028;-1.10353112336491;-1.08727636362219;-1.10965169643552;-1.6265953326713;4.68775223435948;-3.06115690168818;-0.008228076311075;0.003016428790108;0.01116120070642
2;16;1;27;16;55;123.161583416087;125.619389275074;127.234799900695;170.854458291956;9.30075223435948;0;376.015772591857;-1.11756571363282;-1.09788245273772;-1.08308514428253;-6.53102234359484;0.842395233366435;5.6886271102284;-0.009774024044422;-0.017304244804488;-0.007593550084141
2;16;1;28;10;55;126.510595829196;125.648287984111;123.287553128103;160.444886792453;10.4583952333664;0;375.44643694141;-1.08406188291711;-1.09971495756117;-1.11513706197096;4.08535054617676;1.49842701092354;-5.5837775571003;0.007781503623651;0.016037960741544;0.008202942348247
2;16;1;28;13;55;126.426289473684;124.973546176763;124.516902681231;160.05241857001;10.3790193644489;0;375.916738331678;-1.08604055813538;-1.10716066748934;-1.1048181785416;3.36213008937438;-0.996099801390268;-2.36603028798411;0.010698290681992;0.009911686040415;-0.000769674088526
2;16;1;28;16;55;125.910400695134;126.438743793446;126.325710526316;151.392819761668;10.1;0;378.674855014896;-1.09966679541602;-1.10083294079999;-1.09777358679961;-0.943652929493545;0.641376365441907;0.302276564051639;0.000562801923263;-0.00053844450461;-0.001166898800578
2;16;1;29;10;55;131.374555610725;128.466872393247;125.154978152929;143.307993545184;9.88731976166832;0;384.996406156902;-1.07529584912045;-1.09946099749166;-1.12605229634685;9.12726067527309;0.404211022840119;-9.53147169811321;0.012061408568281;0.025379212998199;0.013340498352386
