cam;year;month;day;hour;min;r;g;b;h;s;v;tot;r_pc;g_pc;b_pc;r_ex;g_ex;b_ex;n_rg_d;n_rb_d;n_gb_d;flower
1;16;6;21;13;55;128.193119165839;127.984940913605;128.111005958292;162.498825223436;9.546361966236349;0;384.28906603773595;-1.1009845886104999;-1.10218552919662;-1.09604377002477;0.290291459781529;-0.334243296921549;0.04395183714001999;0.00047312292470599995;-0.002408036763256;-0.002929208642712;0
1;16;6;21;16;55;127.03590566037701;130.153975670308;126.960876861966;155.205649950348;10.559285004965199;0;384.150758192651;-1.11168530974743;-1.08445212742936;-1.1047021420077099;-3.04304121151936;6.311168818272099;-3.26812760675273;-0.01362127389593;-0.003481396803685;0.010084117239561;0
1;16;6;22;10;55;128.479946375372;128.996152432969;129.31792800397199;174.966419563059;9.06066832174777;0;386.794026812314;-1.10561651296627;-1.1003599087023301;-1.09342493308592;-1.3541876861966202;0.19443048659384302;1.15975719960278;-0.002640764587909;-0.00608495638742;-0.003464405888197;0
1;16;6;22;13;55;130.322948857994;129.36119016881798;126.97331032770599;163.22970208540198;9.29239523336643;0;386.65744935451795;-1.09036606807131;-1.0984037291165698;-1.1110859527618202;4.31139721946375;1.42612115193645;-5.7375183714002;0.003996486868295;0.010334505140504999;0.006315126640811999;0
1;16;6;22;16;55;123.485852532274;128.015535253227;130.289357000993;186.181156405164;15.434183714002;0;381.790744786495;-1.1450921664005702;-1.1017172205441998;-1.06052228931384;-11.333187189672302;2.25586097318769;9.07732621648461;-0.021730368147009002;-0.042080945816306;-0.020587882499397997;0
1;16;6;23;10;55;122.838742800397;133.21494836147;131.077646971202;168.164135551142;13.4708212512413;0;387.131338133069;-1.16290835618896;-1.0650911251171;-1.07651680688157;-18.6151097318769;12.513506951340599;6.10160278053625;-0.048891759519287;-0.043090104781256;0.0057183923514780004;0
1;16;6;23;13;55;121.82611817278999;131.856670307845;131.105342601788;171.86362313803397;15.0024289970209;0;384.78813108242304;-1.16799227253815;-1.0723000570648;-1.06638046428908;-19.309776564051603;10.781879841112199;8.52789672293942;-0.047968215057139;-0.05058174182099501;-0.0029455103246369997;0
1;16;6;23;16;55;122.16029890764601;126.641996027805;132.814457795432;192.92488877854998;16.6622418073486;0;381.616752730884;-1.15702872545477;-1.11307046568948;-1.0392303339874;-15.135856007944401;-1.69076464746773;16.8266206554121;-0.022007522179819;-0.058534241443117994;-0.036805454839395;0
1;16;6;24;10;55;126.675483614697;128.606677259186;128.646287487587;178.49584409136003;10.150119165839099;0;383.92844836147003;-1.11272821795385;-1.09654258119524;-1.09090345018152;-3.90199751737835;1.89158341608739;2.01041410129096;-0.008118731886164;-0.010902927921272;-0.0028222582890120003;0
1;16;6;24;13;55;129.199044190665;131.691058589871;126.556096822244;154.17771996027798;10.387948361469698;0;387.446199602781;-1.10340015895228;-1.0816958500981702;-1.1159544736724298;0.150932969215492;7.62697616683218;-7.777909136047669;-0.010851504952753;0.006251125642495;0.017049548413007;0
1;16;6;24;16;55;124.72024677259199;127.574642999007;130.920767626614;193.040148957299;14.3308351539225;0;383.215657398212;-1.13422310307494;-1.10856308116604;-1.06279475313647;-9.054917080436939;-0.49172840119165795;9.5466454816286;-0.01283523460309;-0.035572613990926004;-0.022851786194808;0
1;16;6;25;10;55;126.22850248262199;127.979285004965;127.083262164846;174.180143495531;10.3519205561072;0;381.291049652433;-1.1081624112264;-1.0950138980536999;-1.09686759061099;-2.60554220456802;2.64680536246276;-0.041263157894737;-0.006723291139735;-0.005508254770827;0.0011326017794170001;0
1;16;6;25;13;55;127.54973336643499;129.032799900695;126.689659880834;151.245428997021;9.78911916583913;0;383.272193147964;-1.10317842392205;-1.09147692229435;-1.10568982613477;-0.622993048659384;3.82620655412115;-3.20321350546177;-0.005860583806664001;0.0012881224677669999;0.007113197079257;0
